Mon Apr 22 17:21:36 2013    output/python_streaming_number_data.profile

         6108036 function calls (5708036 primitive calls) in 13.611 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   400002    0.097    0.000    0.097    0.000 {method 'join' of 'str' objects}
   100002    0.091    0.000    0.091    0.000 {method 'split' of 'str' objects}
   100000    0.077    0.000    0.077    0.000 /Users/jpacker/code/java-python-streaming/fake_udfs.py:1(wrap_args)
   400137    0.063    0.000    0.063    0.000 {method 'flush' of 'file' objects}
   100002    0.062    0.000    0.062    0.000 {method 'endswith' of 'str' objects}
   300000    0.059    0.000    0.059    0.000 {method 'iteritems' of 'dict' objects}
   100000    0.051    0.000    0.051    0.000 {range}
   100011    0.030    0.000    0.030    0.000 {method 'append' of 'list' objects}

Mon Apr 22 17:26:56 2013    output/python_streaming_deep_map_data.profile

         11008036 function calls (9208036 primitive calls) in 21.452 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   100001    6.091    0.000    6.091    0.000 {method 'readline' of 'file' objects}
600000/100000    4.746    0.000    6.382    0.000 /Users/jpacker/code/java-python-streaming/controller.py:217(_deserialize_collection)
800000/100000    2.635    0.000    3.468    0.000 /Users/jpacker/code/java-python-streaming/controller.py:273(serialize_output)
        1    2.574    2.574   21.452   21.452 /Users/jpacker/code/java-python-streaming/controller.py:50(main)
700000/100000    1.027    0.000    6.529    0.000 /Users/jpacker/code/java-python-streaming/controller.py:188(_deserialize_input)
  2200137    0.704    0.000    0.704    0.000 {method 'find' of 'str' objects}
   700000    0.655    0.000    0.655    0.000 {method 'encode' of 'unicode' objects}
   399864    0.448    0.000    1.173    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1594(debug)
   400000    0.364    0.000    1.548    0.000 /Users/jpacker/code/java-python-streaming/controller.py:149(log_message)
   100000    0.335    0.000    7.062    0.000 /Users/jpacker/code/java-python-streaming/controller.py:176(deserialize_input)
   400001    0.275    0.000    0.457    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1324(isEnabledFor)
   100137    0.261    0.000    0.261    0.000 {method 'write' of 'file' objects}
   100001    0.261    0.000    6.421    0.000 /Users/jpacker/code/java-python-streaming/controller.py:128(get_next_input)
   399864    0.216    0.000    0.673    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1110(debug)
   400001    0.182    0.000    0.182    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1310(getEffectiveLevel)
  1400002    0.148    0.000    0.148    0.000 {len}
   600000    0.094    0.000    0.094    0.000 {method 'iteritems' of 'dict' objects}
   100002    0.090    0.000    0.090    0.000 {method 'split' of 'str' objects}
   700002    0.083    0.000    0.083    0.000 {method 'join' of 'str' objects}
   100000    0.059    0.000    0.059    0.000 /Users/jpacker/code/java-python-streaming/fake_udfs.py:1(wrap_args)
   400137    0.058    0.000    0.058    0.000 {method 'flush' of 'file' objects}
   100002    0.057    0.000    0.057    0.000 {method 'endswith' of 'str' objects}
   100000    0.048    0.000    0.048    0.000 {range}
   100011    0.029    0.000    0.029    0.000 {method 'append' of 'list' objects}
