Mon Apr 22 13:22:18 2013    output/python_streaming_number_data.profile

         6908036 function calls (6508036 primitive calls) in 14.364 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   100001    0.296    0.000   12.772    0.000 /Users/jpacker/code/java-python-streaming/controller.py:123(get_next_input)
   400001    0.285    0.000    0.459    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1324(isEnabledFor)
   399864    0.220    0.000    0.678    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1110(debug)
   400001    0.174    0.000    0.174    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1310(getEffectiveLevel)
  1100002    0.132    0.000    0.132    0.000 {len}
   700011    0.125    0.000    0.125    0.000 {method 'append' of 'list' objects}
   400002    0.096    0.000    0.096    0.000 {method 'join' of 'str' objects}
   100002    0.091    0.000    0.091    0.000 {method 'split' of 'str' objects}
   100002    0.071    0.000    0.071    0.000 {method 'endswith' of 'str' objects}
   100000    0.064    0.000    0.064    0.000 /Users/jpacker/code/java-python-streaming/fake_udfs.py:1(wrap_args)
   400137    0.063    0.000    0.063    0.000 {method 'flush' of 'file' objects}
   300000    0.058    0.000    0.058    0.000 {method 'iteritems' of 'dict' objects}
   100000    0.048    0.000    0.048    0.000 {range}

Mon Apr 22 13:26:27 2013    output/python_streaming_deep_map_data.profile

         10208036 function calls (8408036 primitive calls) in 42.899 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
600000/100000   26.095    0.000   27.676    0.000 /Users/jpacker/code/java-python-streaming/controller.py:228(_deserialize_collection)
   100001    6.049    0.000    6.049    0.000 {method 'readline' of 'file' objects}
        1    2.686    2.686   42.899   42.899 /Users/jpacker/code/java-python-streaming/controller.py:45(main)
800000/100000    2.684    0.000    3.520    0.000 /Users/jpacker/code/java-python-streaming/controller.py:284(serialize_output)
700000/100000    1.034    0.000   27.906    0.000 /Users/jpacker/code/java-python-streaming/controller.py:183(_deserialize_input)
   700000    0.654    0.000    0.654    0.000 {method 'encode' of 'unicode' objects}
   399864    0.440    0.000    1.160    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1594(debug)
   700000    0.409    0.000    0.409    0.000 /Users/jpacker/code/java-python-streaming/controller.py:198(_get_schema)
   400000    0.354    0.000    1.525    0.000 /Users/jpacker/code/java-python-streaming/controller.py:144(log_message)
   100000    0.310    0.000   28.398    0.000 /Users/jpacker/code/java-python-streaming/controller.py:171(deserialize_input)
   400001    0.279    0.000    0.444    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1324(isEnabledFor)
   100137    0.268    0.000    0.269    0.000 {method 'write' of 'file' objects}
   100001    0.259    0.000    6.380    0.000 /Users/jpacker/code/java-python-streaming/controller.py:123(get_next_input)
   399864    0.221    0.000    0.665    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1110(debug)
   100000    0.210    0.000    0.210    0.000 /Users/jpacker/code/java-python-streaming/controller.py:317(cast_val)
   400001    0.165    0.000    0.165    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1310(getEffectiveLevel)
  1400002    0.148    0.000    0.148    0.000 {len}
   700011    0.122    0.000    0.122    0.000 {method 'append' of 'list' objects}
   600000    0.101    0.000    0.101    0.000 {method 'iteritems' of 'dict' objects}
   100002    0.091    0.000    0.091    0.000 {method 'split' of 'str' objects}
   700002    0.081    0.000    0.081    0.000 {method 'join' of 'str' objects}
   100000    0.064    0.000    0.064    0.000 /Users/jpacker/code/java-python-streaming/fake_udfs.py:1(wrap_args)
   100002    0.060    0.000    0.060    0.000 {method 'endswith' of 'str' objects}
   400137    0.058    0.000    0.058    0.000 {method 'flush' of 'file' objects}
   100000    0.045    0.000    0.045    0.000 {range}
